    borough    | hour_of_day | total_accidents | serious_accidents 
 2018 |     6 |            4909 |                83 |        1.69
 2018 |     7 |            4692 |                80 |        1.71
 2018 |     8 |            4722 |                91 |        1.93
 2018 |     9 |            4587 |               103 |        2.25
 2018 |    10 |            4811 |                67 |        1.39
 2018 |    11 |            4509 |                66 |        1.46
 2018 |    12 |            4587 |                81 |        1.77
 2017 |     1 |            4210 |                57 |        1.35
 2017 |     2 |            3724 |                44 |        1.18
 2017 |     3 |            4679 |                57 |        1.22
 2017 |     4 |            4303 |                80 |        1.86
 2017 |     5 |            5116 |                77 |        1.51
 2017 |     6 |            5222 |                95 |        1.82
 2017 |     7 |            4652 |                90 |        1.93
 2017 |     8 |            4463 |                71 |        1.59
 2017 |     9 |            4666 |                81 |        1.74
 2017 |    10 |            4688 |                77 |        1.64
 2017 |    11 |            4536 |                73 |        1.61
 2017 |    12 |            4765 |                72 |        1.51
 2016 |     1 |            3869 |                43 |        1.11
 2016 |     2 |            3318 |                38 |        1.15
 2016 |     3 |            2993 |                47 |        1.57
 2016 |     4 |            1971 |                32 |        1.62
 2016 |     5 |            4228 |                81 |        1.92
 2016 |     6 |            4311 |                67 |        1.55
 2016 |     7 |            4273 |                78 |        1.83
 2016 |     8 |            4659 |                98 |        2.10
 2016 |     9 |            4567 |                92 |        2.01
 2016 |    10 |            4808 |                64 |        1.33
 2016 |    11 |            4645 |                85 |        1.83
 2016 |    12 |            4644 |                56 |        1.21
(82 rows)

